locname,nmeas,firstyear,lastyear,nyears,yearspan,mean,std,q05,q50,q95,q95-q05,ref,firstdate,lastdate,alias,xcr,ycr
P11E0038,194.0,1992.0,2008.0,15.0,17.0,-246.2680412371134,14.601451744075318,-263.0,-250.0,-214.65,48.349999999999994,NAP,1992-06-15,2008-05-14,11ES7109,207018.0,563841.0
P11E0039,370.0,1992.0,2012.0,21.0,21.0,52.23243243243243,10.209726327498409,38.0,53.0,63.0,25.0,NAP,1992-10-28,2012-06-28,11ES7110,206620.0,564630.0
P11E0040,39.0,1993.0,1995.0,3.0,3.0,433.4871794871795,17.195274434797174,409.8,431.0,459.2,49.39999999999998,NAP,1993-01-14,1995-07-14,11ES7111,206780.0,563280.0
P11E0041,70.0,1992.0,1995.0,4.0,4.0,471.4428571428571,15.873262282421418,443.9,472.0,497.0,53.10000000000002,NAP,1992-07-14,1995-11-28,11ES7112,206880.0,563280.0
P11F0001,159.0,1986.0,1995.0,10.0,10.0,490.32704402515725,16.91770731966201,458.0,493.0,515.0,57.0,NAP,1986-10-29,1995-03-28,11FS7014,211780.0,564130.0
P11F0002,99.0,1986.0,1991.0,6.0,6.0,436.52525252525254,13.623466724694032,414.70000000000005,439.0,456.0,41.299999999999955,NAP,1986-10-29,1991-12-12,11FS7015,211910.0,564440.0
P11F0004,431.0,1986.0,2007.0,22.0,22.0,348.4965197215777,9.356473294498123,333.0,350.0,360.0,27.0,NAP,1986-10-29,2007-10-30,11FS7017,211185.0,564799.0
P11F0005,151.0,1986.0,1994.0,9.0,9.0,365.8079470198675,18.67608639652611,339.5,359.0,405.0,65.5,NAP,1986-10-29,1994-08-26,11FS7018,211635.0,564490.0
P11F0006,162.0,1986.0,1997.0,12.0,12.0,418.35185185185185,19.870222492235943,394.0,413.5,453.0,59.0,NAP,1986-11-28,1997-06-27,11FS7019,211865.0,564350.0
P11F0007,435.0,1986.0,2007.0,22.0,22.0,359.9747126436782,11.700045476208484,340.0,361.0,378.29999999999995,38.299999999999955,NAP,1986-10-29,2007-10-30,11FS7020,211925.0,564665.0
P11F0008,264.0,1991.0,2003.0,13.0,13.0,238.1969696969697,8.2050150609959,230.0,236.0,256.0,26.0,NAP,1991-06-14,2003-07-14,11FS7022,210040.0,565910.0
P11F0009,320.0,1991.0,2007.0,17.0,17.0,274.784375,13.389759090848933,256.0,273.0,299.0,43.0,NAP,1991-06-14,2007-10-30,11FS7023,210590.0,564395.0
P11F0010,340.0,1992.0,2007.0,16.0,16.0,400.5323529411765,66.80099985380448,277.0,432.0,455.0,178.0,NAP,1992-01-16,2007-10-30,11FS7035,211910.0,564440.0
P11F0011,343.0,1991.0,2007.0,17.0,17.0,630.804664723032,39.04113562096261,558.0,647.0,669.0,111.0,NAP,1991-10-29,2007-10-30,11FS7036,212340.0,563330.0
P11F0012,343.0,1991.0,2007.0,17.0,17.0,615.0583090379009,64.36393313308595,493.2,645.0,668.0,174.8,NAP,1991-10-29,2007-10-30,11FS7037,212090.0,563130.0
P11F0013,109.0,1991.0,1997.0,7.0,7.0,650.8348623853211,14.38782520401389,627.4,650.0,671.0,43.60000000000002,NAP,1991-11-14,1997-06-27,11FS7038,212080.0,563040.0
P11F0014,327.0,1991.0,2007.0,17.0,17.0,700.6299694189603,38.447567128457194,630.0,717.0,736.0,106.0,NAP,1991-10-29,2007-10-30,11FS7039,211785.0,563500.0
P11F0015,154.0,1991.0,1998.0,8.0,8.0,599.7012987012987,15.697770488268432,573.0,602.0,623.0,50.0,NAP,1991-10-29,1998-12-28,11FS7040,211460.0,563580.0
P11F0016,347.0,1991.0,2007.0,17.0,17.0,564.2795389048991,51.908375389959296,467.0,588.0,609.0,142.0,NAP,1991-10-29,2007-10-30,11FS7041,211745.0,563100.0
P11F0017,283.0,1991.0,2007.0,17.0,17.0,524.9293286219081,67.50888007184497,398.0,557.0,586.0,188.0,NAP,1991-11-14,2007-10-30,11FS7042,212650.0,563830.0
P11F0018,123.0,1991.0,1997.0,7.0,7.0,516.6016260162602,26.168351501101846,464.2,521.0,544.0,79.80000000000001,NAP,1991-11-14,1997-09-16,11FS7043,211340.0,563390.0
P11F0019,0.0,,,0.0,,,,,,,,NAP,,,11FS7046,211630.0,564120.0
P11F0020,70.0,1994.0,1999.0,6.0,6.0,88.78571428571429,8.874148837964333,70.0,92.0,96.55,26.549999999999997,NAP,1994-12-15,1999-05-14,11FS7056,211540.0,573200.0
P11F0021,38.0,1994.0,1999.0,6.0,6.0,154.8684210526316,8.646733651787258,142.0,154.5,167.15,25.150000000000006,NAP,1994-12-15,1999-02-28,11FS7057,211260.0,572820.0
P11F0022,27.0,1994.0,1999.0,6.0,6.0,208.0,15.679481938066507,190.3,201.0,233.8,43.5,NAP,1994-12-15,1999-02-28,11FS7058,211330.0,572640.0
P11F0023,0.0,,,0.0,,,,,,,,NAP,,,11FS7059,211612.0,564193.0
P11F0024,165.0,1997.0,2007.0,11.0,11.0,304.8666666666667,17.526124518854893,270.4,313.0,321.0,50.60000000000002,NAP,1997-03-14,2007-10-30,11FS7060,211400.0,564700.0
P11F0025,9.0,1997.0,1998.0,2.0,2.0,371.55555555555554,22.27729287363655,339.6,373.0,399.79999999999995,60.19999999999993,NAP,1997-03-14,1998-10-28,11FS7061,211720.0,564400.0
P11F0026,0.0,,,0.0,,,,,,,,NAP,,,11FS7062,212335.0,564065.0
P11F0027,189.0,1997.0,2007.0,11.0,11.0,470.64021164021165,20.653619330382078,434.0,475.0,506.0,72.0,NAP,1997-12-15,2007-10-30,11FS7063,211185.0,563550.0
P11F0028,201.0,1997.0,2007.0,11.0,11.0,259.43283582089555,15.546598226554595,237.0,256.0,282.0,45.0,NAP,1997-03-14,2007-10-30,11FS7064,210700.0,564280.0
P11F0029,0.0,,,0.0,,,,,,,,NAP,,,11FS7065,212850.0,562680.0
P11F0030,113.0,1996.0,2004.0,8.0,9.0,632.7964601769911,29.864921878122274,577.2,645.0,663.0,85.79999999999995,NAP,1996-12-04,2004-02-26,11FS7065,212850.0,562675.0
P11F0031,0.0,,,0.0,,,,,,,,NAP,,,11FS7066,212730.0,563590.0
P11F0032,130.0,1998.0,2007.0,10.0,10.0,469.5076923076923,17.83266150462965,447.0,467.0,508.0,61.0,NAP,1998-04-16,2007-10-30,11FS7066,212699.0,563586.0
P11F0033,81.0,2001.0,2005.0,5.0,5.0,590.9012345679013,7.432369975774222,574.0,593.0,599.0,25.0,NAP,2001-11-13,2005-04-28,11FS7067,215360.0,566620.0
