locname,nmeas,firstyear,lastyear,nyears,yearspan,mean,std,q05,q50,q95,q95-q05,ref,firstdate,lastdate,alias,xcr,ycr
P55A0012,19.0,1996.0,1997.0,2.0,2.0,-0.768421052631579,0.1745872325068072,-1.01,-0.72,-0.529,0.481,NAP,1996-07-01,1997-05-28,55AS7020,66540.0,369570.0
P56F0001,33.0,1980.0,1998.0,14.0,19.0,26.923939393939403,0.04401273920265794,26.866,26.94,26.97,0.1039999999999992,NAP,1980-03-14,1998-03-28,56FS7029,138710.0,369975.0
P56F0002,31.0,1980.0,1986.0,7.0,7.0,26.714193548387097,0.11675541939023296,26.445,26.76,26.81,0.36499999999999844,NAP,1980-02-14,1986-12-31,56FS7030,138710.0,369905.0
P56F0003,324.0,1980.0,2002.0,23.0,23.0,26.624660493827157,0.047542148623412266,26.54,26.63,26.69,0.15000000000000213,NAP,1980-01-14,2002-04-28,56FS7031,138720.0,369860.0
P56F0004,67.0,1980.0,1996.0,17.0,17.0,26.20895522388062,0.03705582718491393,26.15,26.21,26.27,0.120000000000001,NAP,1980-02-14,1996-08-31,56FS7032,138425.0,369885.0
P56F0005,544.0,1980.0,2011.0,32.0,32.0,25.92253676470589,0.048302668840737056,25.84,25.92,25.99,0.14999999999999858,NAP,1980-01-14,2011-12-28,56FS7033,138430.0,369800.0
P56F0006,253.0,1980.0,1995.0,16.0,16.0,25.860671936758898,0.08931809062280678,25.696,25.87,25.994,0.29799999999999827,NAP,1980-01-14,1995-07-28,56FS7034,137870.0,369760.0
P56F0007,395.0,1982.0,2002.0,21.0,21.0,26.384101265822803,0.05943806120846336,26.3,26.38,26.49,0.18999999999999773,NAP,1982-05-14,2002-04-28,56FS7035,138610.0,369995.0
P56F0008,230.0,1982.0,1992.0,11.0,11.0,27.042391304347827,0.07769565477693723,26.9645,27.04,27.1755,0.21099999999999852,NAP,1982-05-14,1992-08-14,56FS7036,138850.0,370120.0
P56F0009,301.0,1983.0,2000.0,18.0,18.0,25.805182724252486,0.11547748626415046,25.64,25.79,26.03,0.39000000000000057,NAP,1983-04-27,2000-03-27,56FS7037,138350.0,369800.0
P56F0010,287.0,1983.0,2002.0,20.0,20.0,27.067003484320555,0.11511051236853716,26.9,27.06,27.26,0.360000000000003,NAP,1983-04-27,2002-04-28,56FS7038,138890.0,369745.0
P56F0011,104.0,1983.0,2002.0,19.0,20.0,27.03740384615385,0.06187985842151989,26.943,27.03,27.13,0.1869999999999976,NAP,1983-04-27,2002-04-28,56FS7039,138880.0,369700.0
P56F0012,175.0,1983.0,2002.0,20.0,20.0,27.00028571428571,0.05815584068896016,26.91,26.99,27.093,0.18299999999999983,NAP,1983-05-13,2002-04-28,56FS7040,138880.0,369665.0
P56F0013,78.0,1983.0,1993.0,11.0,11.0,26.707307692307687,0.14103212378766738,26.5485,26.69,27.05,0.5015000000000001,NAP,1983-04-27,1993-05-28,56FS7041,138880.0,369620.0
